report_pid,title,report_start_time,report_end_time,open_file_date,type,report_owner,commodity
cr000221,"ATP 43, SIX MONTHLY REPORT FOR PERIOD ENDING 30/9/1959",30/03/1959,29/09/1959,30/09/1964,permit-report-six-month,GEOSURVEYS OF AUSTRALIA LTD,petroleum
cr000396,"ATP 56, SIX MONTHLY REPORT FOR PERIOD ENDING 31/12/1959",1/07/1959,30/12/1959,31/12/1964,permit-report-six-month,ASSOCIATED AUSTRALIAN OILFIELDS NL AND ASSOCIATED FRENEY OIL FIELDS NL,petroleum
cr000410,"ATP 67, SIX MONTHLY REPORT FOR PERIOD ENDING 31/12/1959",1/07/1959,30/12/1959,31/12/1964,permit-report-six-month,DELHI AUSTRALIAN PETROLEUM LTD,petroleum
cr000412,PRELIMINARY REPORT NEBO PROSPECTS (BASED ON RESULTS OF RECENT TEST DRILLING) JANUARY 1960,1/01/1959,31/12/1959,1/02/1965,permit-report-annual,ENTERPRISE EXPLORATION COMPANY PTY LTD,coal
cr000438,"ATP 55, SIX MONTHLY REPORT FOR PERIOD ENDING 31/3/1960",1/10/1959,30/03/1960,31/03/1965,permit-report-six-month,AUSTRALIAN ASSOCIATED OILFIELDS,petroleum
cr000445,"ATP 56, SIX MONTHLY REPORT FOR PERIOD ENDING 31/3/1960",1/10/1959,30/03/1960,31/03/1965,permit-report-six-month,ASSOCIATED FRENEY OIL FIELDS NL,petroleum
cr000509,"ATP 56, SIX MONTHLY REPORT FOR PERIOD ENDING 30/9/1960",30/03/1960,29/09/1960,30/09/1965,permit-report-six-month,UNKNOWN,petroleum
cr000513,"REPORT ON BLAIR ATHOL COALFIELD; VOLUME I REPORT ON INVESTIGATIONS; PLATES: BY I G WHITCHER, F MCIVER & C L KNIGHT VOL II GEOL LOGS PROX ANALYSIES: DO AUG 1960 (REPORT NO Q 214)",1/01/1989,31/12/1989,1/02/1995,permit-report-annual,UNKNWON,coal
cr000543,UNDERGROUND GASIFICATION OF COAL REPORT STUDY WITH ESTIMATE OF COSTS FOR COMMERCIAL SCALE OPERATION HUMPHREYS & GLASGOW LONDON NOV 1960 (REPORT MISSING FROM CR COLLECTION),1/11/1959,31/10/1960,1/12/1965,permit-report-annual,HUMPHREYS & GLASGOW LONDON,coal
cr000569,"ATP 56, SIX MONTHLY REPORT FOR PERIOD ENDING 31/3/1961",1/10/1960,30/03/1961,31/03/1966,permit-report-six-month,UNKNOWN,petroleum
cr000700,"ATP 56, SIX MONTHLY REPORT FOR PERIOD ENDING 30/9/1961",30/03/1961,29/09/1961,30/09/1966,permit-report-six-month,UNKNOWN,petroleum
cr000766,"ATP 66, SIX MONTHLY REPORT FOR PERIOD ENDING 31/12/1961",1/07/1961,30/12/1961,31/12/1966,permit-report-six-month,UNKNOWN,petroleum
cr000772,"ATP 57, SIX MONTHLY REPORT FOR PERIOD ENDING 31/3/1962, (1) REGIONAL SUB-SURFACE STRUCTURAL CONTOUR MAPS ON G AND L HORIZONS IN THE SURAT BASIN, (2) BASEMENT DEPTH MAP OF THE SURAT BASIN, (3) PLAN SHOWING GEOPHYSICAL SURVEYS COMPLETED",1/10/1961,30/03/1962,31/03/1967,permit-report-six-month,UNKNOWN,petroleum
cr000775,"ATP 67, DENSITY SECTIONS ON INNAMINCKA SOUTH - INNAMINCKA AREA 1962",31/12/1961,31/12/1961,1/01/1962,permit-report-final,UNKNOWN,petroleum
cr000889,"PPP 26, 28, SECTIONS REFLECTION WORK UP TO MID JULY 1962 AUSTRAL GEOPROSPECTORS PTY LTD 1962 (SEE CR 946) (REPORT MISSING FROM CR COLLECTION)",30/06/1962,30/06/1962,1/07/1965,seismic-survey-report-other,UNKNOWN,petroleum
cr001001,"ATP 66, MAPS SHOWING PROGRAMME FOR 1963",31/12/1962,31/12/1962,1/01/1968,petroleum-report-other,UNKNOWN,petroleum
cr001016,"ATP 67, SIX MONTHLY REPORT FOR PERIOD ENDING 31/12/1962",1/07/1962,30/12/1962,31/12/1967,permit-report-six-month,UNKNOWN,petroleum
cr001088,"ATP 57, SIX MONTHLY REPORT FOR PERIOD ENDING 31/3/1963",1/10/1962,30/03/1963,31/03/1968,permit-report-six-month,UNION OIL DEVELOPMENT CORP,petroleum
cr001481,"ATP 56, LITHOFACIES STUDY, ROLLESTON PROSPECT CUNDILL, MEYERS & ASSOC 1964",31/12/1963,31/12/1963,1/01/1967,scientific-or-technical-survey-report,MEYERS & ASSOC,petroleum
cr001820,"EPC 12, BLACKWATER, 1ST REPORT",1/01/1965,31/12/1965,1/02/1971,permit-report-annual,UNKNOWN,coal
cr001868,"EPC 12, BLACKWATER, 2ND REPORT",1/01/1989,31/12/1989,1/02/1995,permit-report-annual,UNKNOWN,coal
cr001896,"ATP 56, COMPLETION REPORT, GIBIHI GRAVITY SURVEY, 1964 & 1965 MINAD, 1966",31/12/1965,31/12/1965,1/01/1966,permit-report-final,UNKNOWN,petroleum
cr001918,"EPC 17, THEODORE COAL PROJECT, APRIL, 1966",1/04/1965,31/03/1966,1/05/1971,permit-report-annual,UNKNOWN,coal
cr001923,"EPC 12, SIX MONTHLY REPORT FOR PERIOD ENDING 30/6/1966",30/12/1965,29/06/1966,30/06/1971,permit-report-six-month,UNKNOWN,coal
cr001990,"ATP 71, SHOTHOLE SAMPLES FROM LOCKYER VALLEY SEISMIC SURVEY, 1966 (LIST OF LOCATION MAPS) 1966 (REPORT MISSING FROM CR COLLECTION)",31/12/1965,31/12/1965,1/01/1969,seismic-survey-report-other,UNKNOWN,petroleum
cr002001,"ATP 57, TARA TOWN 3, WELL COMPLETION REPORT",31/10/1966,31/10/1966,1/11/1971,well-completion-report,TARA SHIRE,petroleum
cr002034,"EPC 17, THEODORE DISTRICT, QUARTERLY REPORT FOR PERIOD ENDING 30/11/1966",30/05/1966,29/11/1966,30/11/1971,permit-report-six-month,UNKNOWN,coal
cr002047,"EPC 25, SIX MONTHLY REPORT FOR PERIOD ENDING 30/9/1966, A U WELCH 1",30/03/1966,29/09/1966,30/09/1971,permit-report-six-month,UNKNOWN,coal
cr002058,"EPC 12, BLACKWATER, REPORT FOR PERIOD 1/10/1966 TO 21/12/1966, (G 3/20F)",30/09/1966,20/12/1966,21/01/1972,permit-report-annual,UNKNOWN,coal
cr002069,"EPC 10, PROGRAMME FOR FURTHER DRILLING SOUTH BLACKWATER, (REPORT MISSING FROM CR COLLECTION)",1/01/1965,31/12/1965,1/02/1971,permit-report-annual,UNKNOWN,coal
cr002076,"ATP 95, A, B, C FIELD REPORT, PASCOE B/WILLIAM THOMPSON (REPORT OF FIELD STUDIES IN CAPE YORK PENINSULA, 1964) ZOLNAI, CREEVEY, BROPHY, 1965",31/12/1964,31/12/1964,1/01/1968,scientific-or-technical-survey-report,UNKNOWN,petroleum
cr002077,"ATP 95, PROGRESS FIELD REPORT, PASCOE RIV (A) PROGRESS REPORT ON FIELD STUDIE IN CAPE YORK PENINSULA, 1964 ZOLNAI, CREEVEY, BROPHY, 1964",31/12/1963,31/12/1963,1/01/1967,scientific-or-technical-survey-report,UNKNOWN,petroleum
cr002170,"EPC 10, SOUTH BLACKWATER, ANNUAL REPORT FOR PERIOD ENDING 20/4/1967",20/04/1966,19/04/1967,20/05/1972,permit-report-annual,UNKNOWN,coal
cr002236,"EPC 12, BLACKWATER, REPORT ON GEOLOGY",1/01/1966,31/12/1966,1/02/1972,permit-report-annual,UNKNOWN,coal
cr002266,"EPC 12, BLACKWATER, REPORT FOR PERIOD 1/7/1967 TO 30/9/1967",30/06/1967,29/09/1967,30/10/1972,permit-report-annual,UNKNOWN,coal
cr002267,"EPC 17, THEODORE DISTRICT, QUARTERLY REPORT FOR PERIOD ENDING 31/8/1967",3/03/1967,30/08/1967,31/08/1972,permit-report-six-month,UNKNOWN,coal
cr002276,"EPC 17, COMPLETION REPORT ON EXPLORATION FOR STEAMING COAL SOUTH OF THEODORE",31/12/1966,31/12/1966,1/01/1967,permit-report-final,UNKNOWN,coal
cr002303,"EPC 12, BLACKWATER, REPORT FOR PERIOD 1/10/1967 TO 31/12/1967",30/09/1967,30/12/1967,31/01/1973,permit-report-annual,UNKNOWN,coal
cr002304,"EPC 23, BARALABA SOUTH, INTERIM REPORT FOR PERIOD ENDING 9/5/1967",9/05/1966,8/05/1967,9/06/1972,permit-report-annual,UNKNOWN,coal
cr002332,REPORT OF C QLD COAL ASSOCIATES ACCOMPANIED BY ANNUAL SUBMISSION OF DATA OBTAINED FROM PROSPECTING ATP 18/1/1968 (REPORT MISSING FROM CR COLLECTION),18/01/1967,17/01/1968,18/02/1973,permit-report-annual,UNKNOWN,coal
